"436635","COMMERCIAL","La Mesa","CA","91941","San Diego","","7/19/23"
"437826","CONV 1004","Los Angeles","CA","90036","Los Angeles","","7/28/23"
"437881","CONV 1004","Santa Rosa","CA","95404","Sonoma","","7/28/23"
"437945","CONV 1004","San Diego","CA","92126","San Diego","","7/28/23"
"437980","CONV 1004","Valley Center","CA","92082","San Diego","","7/28/23"
"437684","CONV 1004","La Mesa","CA","91941","San Diego","","7/27/23"
"437690","CONV 1004","Carlsbad","CA","92010","San Diego","","7/27/23"
"437764","CONV 1004","Los Angeles","CA","90039","Los Angeles","","7/27/23"
"437783","CONV 1004","South Pasadena","CA","91030","Los Angeles","","7/27/23"
"437559","CONV 1004","Petaluma","CA","94954","Sonoma","","7/26/23"
"437285","CONV 1004","Clovis","CA","93611","Fresno","","7/25/23"
"437311","CONV 1004","Temecula","CA","92590","Riverside","","7/25/23"
"437344","CONV 1004","Thousand Oaks","CA","91362","Ventura","","7/25/23"
"437369","CONV 1004","CLOVIS","CA","93619","Fresno","","7/25/23"
"437424","CONV 1004","Menlo Park","CA","94025","San Mateo","","7/25/23"
"437058","CONV 1004","Chula Vista","CA","91911","San Diego","","7/24/23"
"437078","CONV 1004","Bakersfield","CA","93306","Kern","","7/24/23"
"437139","CONV 1004","Laguna Beach","CA","92651","Orange","","7/24/23"
"436326","CONV 1004","Tarzana","CA","91356","Los Angeles","","7/18/23"
"435875","CONV 1004","Pasadena","CA","91106","Los Angeles","","7/14/23"
"438145","CONV 1004 +1007","Bakersfield","CA","93304","Kern","","7/31/23"
"438002","CONV 1004 +1007","East Palo Alto","CA","94303","San Mateo","","7/28/23"
"437539","CONV 1004 +1007","Bakersfield","CA","93305","Kern","","7/26/23"
"437924","CONV 1025 DUPLEX +216","Los Angeles","CA","90033","Los Angeles","","7/28/23"
"438052","CONV 1073","San Leandro","CA","94577","Alameda","","7/31/23"
"437993","CONV 1073","Fountain Valley","CA","92708","Orange","","7/28/23"
"437497","CONV 1073","Bakersfield","CA","93309","Kern","","7/26/23"
"437592","CONV 1073","Castaic","CA","91384","Los Angeles","","7/26/23"
"437304","CONV 1073","San Francisco","CA","94131","San Francisco","","7/25/23"
"437990","CONV 1073 +1007/216","Nipomo","CA","93444","San Luis Obispo","","7/28/23"
"437638","Disaster Area Inspection Report (DAIR) w/ Interior","Tehachapi","CA","93561","Kern","","7/26/23"
"438078","FHA 1004","Murrieta","CA","92563","Riverside","","7/31/23"
"438104","FHA 1004","Downey","CA","90241","Los Angeles","","7/31/23"
"437852","FHA 1004","Diamond Springs","CA","95619","El Dorado","","7/28/23"
"437935","FHA 1004","Manteca","CA","95337","San Joaquin","","7/28/23"
"437949","FHA 1004","Westminster","CA","92683","Orange","","7/28/23"
"437805","FHA 1004","Riverside","CA","92509","Riverside","","7/27/23"
"437463","FHA 1004","Rohnert Park","CA","94928","Sonoma","","7/26/23"
"437528","FHA 1004","Commerce","CA","90040","Los Angeles","","7/26/23"
